id,no,project,reporter,type,priority,contributors,turn_no,assignee,started,ended,spent hours,steps,comments count,valid,Q1,Q2,Q3,Notes,compositeScore,performanceBinary
1005313.0,1071.0,C06hg2xcu,t.y2xcuyhp,Ticket,High,2.0,1,4hghq,2022-02-27 11:57:06+00:00,2022-02-27 12:04:34+00:00,0.124,2,2,True,5,5,5,Service Desk user did his work perfectly same for other service desk users,5.0,good
,,,,,,,2,4pps,2022-02-27 12:04:34+00:00,2022-10-23 07:12:19+00:00,5707.129,3,4,True,4,4,4,,4.0,good
1005318.0,1074.0,C06hg2xcu,t.y2xcuyhi,Ticket,Medium,1.0,1,4pps,2022-02-27 12:20:12+00:00,2022-10-23 07:13:26+00:00,5706.887,4,4,True,1,1,1,No update on the ticket and no information useful provided,1.0,needs_improvement
1005319.0,1075.0,C06hg2xcu,t.y2xcuyhp,Ticket,Medium,2.0,1,4hghq,2022-02-27 12:29:29+00:00,2022-02-27 12:31:55+00:00,0.041,2,3,True,5,5,5,Service Desk user did his work perfectly same for other service desk users,5.0,good
,,,,,,,2,4pps,2022-02-27 12:31:55+00:00,2022-10-23 07:19:18+00:00,5706.79,3,10,True,1,1,1,No update on the ticket and no information useful provided,1.0,needs_improvement
1005325.0,60.0,C12gia_0,4rkg,Ticket,Medium,1.0,1,,2022-02-27 14:09:03+00:00,2022-03-01 08:17:03+00:00,42.133,4,6,True,5,5,5,This is not a ticket this is a service for preventive maintenance,5.0,good
1005331.0,1078.0,C06hg2xcu,t.y2xcuyho,HD Service,Medium,1.0,1,,2022-02-27 14:29:48+00:00,2022-03-16 08:06:21+00:00,401.609,3,3,True,5,5,5,This is not a ticket this is a service for preventive maintenance,5.0,good
1005336.0,280.0,C06grn039,4qsk,Ticket,Medium,1.0,1,4sio,2022-02-27 14:40:43+00:00,2022-08-04 07:45:05+00:00,3785.073,1,4,True,5,5,5,This is not a ticket this is a service for preventive maintenance,5.0,good
1005341.0,359.0,C06gsn039,4pps,Ticket,Medium,2.0,1,4pps,2022-02-27 14:50:25+00:00,2022-03-20 11:01:52+00:00,500.191,1,2,True,1,1,1,"This is not a ticket this is a service for preventive maintenance, no update on the ticket if the PM is done and no PM results attached to the ticket",1.0,needs_improvement
,,,,,,,2,t.yn039ygo,2022-03-20 11:01:52+00:00,2022-04-18 10:30:40+00:00,695.48,1,2,True,5,5,5,This is not a ticket this is a service for preventive maintenance,5.0,good
,,,,,,,3,4pps,2022-04-18 10:30:40+00:00,2022-04-18 10:30:46+00:00,0.002,1,0,True,1,1,1,"This is not a ticket this is a service for preventive maintenance, no update on the ticket if the PM is done and no PM results attached to the ticket",1.0,needs_improvement
,,,,,,,4,t.yn039ygo,2022-04-18 10:30:46+00:00,2023-02-06 08:45:31+00:00,7054.246,2,2,True,5,5,5,This is not a ticket this is a service for preventive maintenance,5.0,good
1005346.0,319.0,C13grb_0,bzyb_0ygo,Ticket,High,1.0,1,4pgp,2022-02-27 18:11:56+00:00,2022-03-02 12:16:46+00:00,66.081,3,3,True,5,5,5,,5.0,good
1005351.0,337.0,C02ggnd01,0nynd01ygs,Ticket,Medium,2.0,1,4hghq,2022-02-28 06:38:11+00:00,2022-02-28 06:41:38+00:00,0.058,2,3,True,5,5,5,Service Desk user did his work perfectly same for other service desk users,5.0,good
,,,,,,,2,4lhl,2022-02-28 06:41:38+00:00,2023-01-24 07:05:39+00:00,7920.4,3,85,True,1,1,1,very bad management for this ticket,1.0,needs_improvement
1005354.0,51.0,C05gpc3,_byc3ygh,Ticket,Highest,1.0,1,4qsk,2022-02-28 06:48:54+00:00,2022-03-06 12:48:44+00:00,149.997,3,8,True,5,5,5,,5.0,good
1005365.0,227.0,C06grt_9,t.yt_9ygo,Ticket,High,2.0,1,4hghq,2022-02-28 12:44:17+00:00,2022-02-28 12:48:41+00:00,0.073,2,3,True,5,5,5,Service Desk user did his work perfectly same for other service desk users,5.0,good
,,,,,,,2,4sio,2022-02-28 12:48:41+00:00,2022-08-14 14:02:01+00:00,4009.222,2,25,True,3,3,3,"This is a service request for new CR, ticket not updated as should be",3.0,needs_improvement
